,file_name,pose,partial_view,object_blocking,person_blocking,multiple_objects,smaller,larger,brighter,darker,background,color,shape,texture,pattern,style,subcategory,list,person
0,ILSVRC2012_val_00001470.JPEG,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,"[True, False, False, False, False, False, True, False, False, True, False, False, False, False, False, True]",0
1,ILSVRC2012_val_00040676.JPEG,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False]",0
2,ILSVRC2012_val_00015410.JPEG,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"[True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False]",0
3,ILSVRC2012_val_00040002.JPEG,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"[True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False]",0
4,ILSVRC2012_val_00046002.JPEG,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,"[True, False, False, False, True, True, False, False, False, False, True, False, False, False, False, False]",0
5,ILSVRC2012_val_00049179.JPEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",0
6,ILSVRC2012_val_00026219.JPEG,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"[False, True, False, False, True, False, False, False, False, True, False, False, False, False, False, False]",0
7,ILSVRC2012_val_00015178.JPEG,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,"[True, False, False, False, False, False, True, False, False, True, False, True, False, False, False, False]",0
8,ILSVRC2012_val_00023750.JPEG,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"[True, False, False, False, False, False, True, False, False, True, False, False, False, False, False, False]",0
9,ILSVRC2012_val_00030263.JPEG,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"[True, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False]",0
10,ILSVRC2012_val_00039246.JPEG,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,"[False, False, False, False, True, True, False, False, True, True, False, True, False, False, False, False]",0
11,ILSVRC2012_val_00049472.JPEG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",0
