,file_name,pose,partial_view,object_blocking,person_blocking,multiple_objects,smaller,larger,brighter,darker,background,color,shape,texture,pattern,style,subcategory,labels,person
0,ILSVRC2012_val_00001470.JPEG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,['true'],MV
1,ILSVRC2012_val_00003768.JPEG,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,['true'],MV
2,ILSVRC2012_val_00003808.JPEG,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,['true'],MV
3,ILSVRC2012_val_00007306.JPEG,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,['true'],MV
4,ILSVRC2012_val_00009634.JPEG,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,['true'],MV
5,ILSVRC2012_val_00010411.JPEG,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,['true'],MV
6,ILSVRC2012_val_00014415.JPEG,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,['true'],MV
7,ILSVRC2012_val_00015178.JPEG,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,['true'],MV
8,ILSVRC2012_val_00015410.JPEG,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['true'],MV
9,ILSVRC2012_val_00017515.JPEG,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,['true'],MV
10,ILSVRC2012_val_00018867.JPEG,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['true'],MV
11,ILSVRC2012_val_00021683.JPEG,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['true'],MV
12,ILSVRC2012_val_00021882.JPEG,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,['true'],MV
13,ILSVRC2012_val_00023283.JPEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['true'],MV
14,ILSVRC2012_val_00023750.JPEG,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,['true'],MV
15,ILSVRC2012_val_00025106.JPEG,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,['true'],MV
16,ILSVRC2012_val_00026219.JPEG,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,['true'],MV
17,ILSVRC2012_val_00030117.JPEG,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,['true'],MV
18,ILSVRC2012_val_00030263.JPEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['true'],MV
19,ILSVRC2012_val_00030540.JPEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['true'],MV
20,ILSVRC2012_val_00030756.JPEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['true'],MV
21,ILSVRC2012_val_00036975.JPEG,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,['true'],MV
22,ILSVRC2012_val_00039246.JPEG,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,['true'],MV
23,ILSVRC2012_val_00040002.JPEG,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['true'],MV
24,ILSVRC2012_val_00040676.JPEG,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,['true'],MV
25,ILSVRC2012_val_00040913.JPEG,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,['true'],MV
26,ILSVRC2012_val_00041922.JPEG,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,['true'],MV
27,ILSVRC2012_val_00046002.JPEG,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,['true'],MV
28,ILSVRC2012_val_00049179.JPEG,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,['true'],MV
29,ILSVRC2012_val_00049472.JPEG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['true'],MV
