,file_name,pose,partial_view,object_blocking,person_blocking,multiple_objects,smaller,larger,brighter,darker,background,color,shape,texture,pattern,style,subcategory,list,person
0,ILSVRC2012_val_00001470.JPEG,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,"[True, False, False, False, False, False, True, False, False, True, False, False, False, False, False, True]",Carl
1,ILSVRC2012_val_00040676.JPEG,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False]",Carl
2,ILSVRC2012_val_00015410.JPEG,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"[True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False]",Carl
3,ILSVRC2012_val_00040002.JPEG,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"[True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False]",Carl
4,ILSVRC2012_val_00046002.JPEG,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,"[True, False, False, False, True, True, False, False, False, False, True, False, False, False, False, False]",Carl
5,ILSVRC2012_val_00049179.JPEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",Carl
6,ILSVRC2012_val_00026219.JPEG,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"[False, True, False, False, True, False, False, False, False, True, False, False, False, False, False, False]",Carl
7,ILSVRC2012_val_00015178.JPEG,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,"[True, False, False, False, False, False, True, False, False, True, False, True, False, False, False, False]",Carl
8,ILSVRC2012_val_00023750.JPEG,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"[True, False, False, False, False, False, True, False, False, True, False, False, False, False, False, False]",Carl
9,ILSVRC2012_val_00030263.JPEG,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"[True, False, False, False, False, False, False, False, False, True, False, True, False, False, False, False]",Carl
10,ILSVRC2012_val_00039246.JPEG,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,"[False, False, False, False, True, True, False, False, True, True, False, True, False, False, False, False]",Carl
11,ILSVRC2012_val_00049472.JPEG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Carl
12,ILSVRC2012_val_00041922.JPEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Carl
13,ILSVRC2012_val_00025106.JPEG,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[True, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False]",Carl
14,ILSVRC2012_val_00007306.JPEG,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False]",Carl
15,ILSVRC2012_val_00018867.JPEG,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"[False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False]",Carl
16,ILSVRC2012_val_00030117.JPEG,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"[False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False]",Carl
17,ILSVRC2012_val_00003768.JPEG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"[False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, True]",Carl
18,ILSVRC2012_val_00014415.JPEG,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"[True, True, False, False, True, False, False, False, False, False, True, False, False, False, False, False]",Carl
19,ILSVRC2012_val_00040913.JPEG,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,"[False, False, False, False, False, False, False, False, False, True, True, False, True, False, False, False]",Carl
20,ILSVRC2012_val_00003808.JPEG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"[False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False]",Carl
21,ILSVRC2012_val_00030756.JPEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Carl
22,ILSVRC2012_val_00030540.JPEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Carl
23,ILSVRC2012_val_00010411.JPEG,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"[False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False]",Carl
24,ILSVRC2012_val_00036975.JPEG,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,"[True, True, False, False, False, False, True, False, False, False, True, False, True, True, False, False]",Carl
25,ILSVRC2012_val_00021882.JPEG,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,"[False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, True]",Carl
26,ILSVRC2012_val_00017515.JPEG,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,"[True, False, False, False, True, True, False, False, False, False, True, False, True, False, False, False]",Carl
27,ILSVRC2012_val_00023283.JPEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",Carl
28,ILSVRC2012_val_00009634.JPEG,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"[True, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False]",Carl
29,ILSVRC2012_val_00021683.JPEG,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"[True, True, False, False, False, False, True, False, False, False, False, False, False, False, False, False]",Carl
0,ILSVRC2012_val_00001470.JPEG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"[False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, True]",Mads
1,ILSVRC2012_val_00014415.JPEG,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"[False, True, False, False, True, False, False, True, False, False, False, False, False, False, False, False]",Mads
